"id","quantity_ordered","unit_1","weight_per_unit","unit_2","theoretical_calc","unit_3","trial_batch","unit_4","total_calc","unit_5","calculate_loss","percent_loss","unit_6","plus_loss","unit_7","unit_8","rd_formulas_id","department","subject","plan_order","phone_number","lot","confirm_formula","confirm_formula_date","confirm_formula_inhouse","note","user_create","record_status","created_at","updated_at"
"53","15340.0000","ชิ้น","120.0000","g","1840.8000","Kg","0.0000","Kg","1840.8000","Kg","40.4980","2.2000","Kg","1881.2980","Kg","kg","RDF2306087","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","YAMANA BRAND COSMETICS CLEANSING GEL กลิ่น Sexy Fragrance","423","0955624767","2","2","16.12.22","","อ้างอิงจากการผลิตที่ผ่านมา","ธิดาพร  เกลี้ยงรส / Viewer","1","2024-12-18 10:08:49","2024-12-18 10:08:49"
"54","10000.0000","ชิ้น","30.0000","กรัม","300.0000","กิโลกรัม","0.0000","กิโลกรัม","300.0000","กิโลกรัม","0.0000","0.0000","กิโลกรัม","300.0000","กิโลกรัม","kg","RDF2302032","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","Her Hyness Bio-Peptide Advanced Youth + Glow Cream 30 ml","1132","0660977899","15","5","2022","-","RDF2302032_5.1   Den 1.0","ชรินทร์ทิพย์ ทวิสิริทรัพย์ / R&D","1","2024-12-20 09:12:03","2025-08-13 07:36:30"
"55","10000.0000","ชิ้น","30.0000","กรัม","300.0000","กิโลกรัม","0.0000","กิโลกรัม","300.0000","กิโลกรัม","0.0000","0.0000","กิโลกรัม","300.0000","กิโลกรัม","kg","RDF2212004","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","HER HYNESS HYDRA GLOW ADVANCED SKIN BOOSTER CREAM 30 ml","1145","0660977899","14","5","2022","-","Den 1.0 , RDF2212004_5","ชรินทร์ทิพย์ / R&D","1","2024-12-20 09:14:41","2025-09-01 04:14:19"
"56","3000.0000","ชิ้น","150.0000","กรัม","450.0000","กิโลกรัม","0.0000","กิโลกรัม","450.0000","กิโลกรัม","4.5000","1.0000","กิโลกรัม","454.5000","กิโลกรัม","kg","RDF2303042","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","Foresta PH 5.5 BALANCING TONER","1061","0660977899","12","3","11/7/2020","-","RDF2303042_1  Den 1.0","ชรินทร์ทิพย์ / R&D","1","2024-12-20 09:20:58","2025-05-26 08:17:03"
"57","3000.0000","ชิ้น","150.0000","กรัม","450.0000","กิโลกรัม","0.0000","กิโลกรัม","450.0000","กิโลกรัม","4.5000","1.0000","กิโลกรัม","454.5000","กิโลกรัม","kg","RDF2303042","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","Foresta PH 5.5 BALANCING TONER","883","0660977899","11","3","11/7/2020","-","Den 1.0","ชรินทร์ทิพย์ / R&D","1","2024-12-20 09:20:58","2024-12-20 09:20:58"
"58","3000.0000","ชิ้น","150.0000","กรัม","450.0000","กิโลกรัม","0.0000","กิโลกรัม","450.0000","กิโลกรัม","4.5000","1.0000","กิโลกรัม","454.5000","กิโลกรัม","kg","RDF2303042","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","Foresta PH 5.5 BALANCING TONER","883","0660977899","11","3","11/7/2020","-","Den 1.0","ชรินทร์ทิพย์ / R&D","1","2024-12-20 09:20:58","2024-12-20 09:20:58"
"59","5100.0000","ชิ้น","5.0000","กรัม","25.5000","กิโลกรัม","","","25.5000","กิโลกรัม","0.6380","2.5000","กิโลกรัม","26.1370","กิโลกรัม","kg","RDF2411090","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","สั่งซื้อวัตถุดิบสำหรับผลิตภัณฑ์      LAMALL INTENSIVE MOISTURIZING STARRY NIGHT CREAM","886","096-6254984","1 (rework)","4.1 (RDF2410127_4.1)","28/11/24","","อ้างอิงเนื้อจาก : Nenich rose revive eye cream เนื่องจากเป็น Cold Process","ธนพร ปานสาคร / R&D","1","2024-12-23 03:37:20","2025-02-24 08:24:07"
"60","5000.0000","ชิ้น","3.0000","กรัม","15.0000","กิโลกรัม","0.0000","กิโลกรัม","15.0000","กิโลกรัม","0.3000","2.0000","กิโลกรัม","15.3000","กิโลกรัม","kg","RDF2411139","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","สั่งซื้อวัตถุดิบผลิตภัณฑ์ LAMALL SILKY MOISTURIZING SOFT CREAM ซอง3ml","891","0946766466","1","4.3","28/11/24","","อ้างอิง %Loss จาก Seoul White Cream ค่ะ","ธัญณิชชวีร์ ศรีวรานนท์ / R&D","1","2024-12-25 06:36:26","2025-01-17 06:42:47"
"61","5000.0000","ชิ้น","3.0000","กรัม","15.0000","กิโลกรัม","0.0000","กิโลกรัม","15.0000","กิโลกรัม","0.3000","2.0000","กิโลกรัม","15.3000","กิโลกรัม","kg","RDF2411153","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","สั่งซื้อวัตถุดิบผลิตภัณฑ์ LAMALL REJUVENATING CONCENTRATE FACIAL SERUM ซอง3ml","892","0946766466","1","4.2","28/11/24","","อ้างอิง %Loss จาก Seoul White Cream ค่ะ","ธัญณิชชวีร์ ศรีวรานนท์ / R&D","1","2024-12-25 06:39:28","2025-01-17 06:43:26"
"62","79200.0000","ชิ้น","38.3400","กรัม","3036.5280","กิโลกรัม","0.0000","กิโลกรัม","3036.5280","กิโลกรัม","60.7310","2.0000","กิโลกรัม","3097.2590","กิโลกรัม","kg","RDF2302007","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","Dr.H hair tonic 45 ml","805","0660977899","6","standard","-","-","Den 0.852 RDF2302007_1","ชรินทร์ทิพย์ ทวิสิริทรัพย์ / R&D","1","2024-12-25 07:22:34","2025-06-10 03:05:55"
"63","10000.0000","ชิ้น","15.0000","กรัม","150.0000","กิโลกรัม","0.0000","กิโลกรัม","150.0000","กิโลกรัม","4.5000","3.0000","กิโลกรัม","154.5000","กิโลกรัม","kg","RDF2406005","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","SEOUL Whitening Glow Serum","1048","0660977899","2","8 (MFG19/6/2024)","15/11/2024","-","Den 1.0    RDF2401072_8","ชรินทร์ทิพย์ ทวิสิริทรัพย์ / R&D","1","2024-12-25 07:32:59","2025-05-21 03:50:09"
"64","5100.0000","ชิ้น","90.0000","กรัม","459.0000","กิโลกรัม","0.0000","กิโลกรัม","459.0000","กิโลกรัม","6.8850","1.5000","กิโลกรัม","465.8850","กิโลกรัม","kg","RDF2411081","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","LAMALL BUST OIL","888","0660977899","1","3 (MFG20/11/2024)","28/11/2024","-","Den 0.9","ชรินทร์ทิพย์ ทวิสิริทรัพย์ / R&D","1","2024-12-25 07:47:48","2024-12-25 09:51:24"
"65","3100.0000","ชิ้น","20.0000","กรัม","62.0000","กิโลกรัม","0.0000","กิโลกรัม","62.0000","กิโลกรัม","0.9300","1.5000","กิโลกรัม","62.9300","กิโลกรัม","kg","RDF2412112","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","สั่งซื้อวัตถุดิบผลิตภัณฑ์ LAMALL RADIANCE NOURISHING BODY OIL (Rework)","889","0946766466","1 (Rework)","5","20/12/24","","อ้างอิง%Loss จาก W DIARY REVOLUTIONARY BODY TREATMENT OIL\n\n*รอบหน้า (Lot ต่อไป) Density 0.90","ธัญณิชชวีร์ ศรีวรานนท์ / R&D","1","2024-12-25 10:04:28","2025-02-24 07:58:40"
"66","5100.0000","ชิ้น","30.0000","กรัม","153.0000","กิโลกรัม","10.0000","กิโลกรัม","163.0000","กิโลกรัม","4.0750","2.5000","กิโลกรัม","167.0750","กิโลกรัม","kg","RDF2411125","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","สั่งซื้อวัตถุดิบสำหรับผลิตภัณฑ์         LAMALL NOURISHING MIRACLE EYE CREAM","887","095-5624767","1","3.1","28/11/24","","อ้างอิง %Loss จาก  Nenich rose revive eye cream","ธิดาพร  เกลี้ยงรส / Viewer","1","2024-12-26 03:08:44","2024-12-26 03:12:20"
"67","3000.0000","ชิ้น","250.0000","g","750.0000","Kg","0.0000","Kg","750.0000","Kg","22.5000","3.0000","Kg","772.5000","Kg","kg","RDF2403100","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","Perfect Organic Ultra mild  shower gel","1125","0955624767","5","13   RDF2308008_13","07/03/24","","อ้างอิงจาก Hlabs Anti Dandruff Intense Shampoo","เบญจมาศ แวดอุดม/เช็คสารแทนพี่เฟิร์น","1","2024-12-26 04:26:14","2025-08-11 11:19:15"
"68","3000.0000","ชิ้น","57.2600","กรัม","171.7800","กิโลกรัม","0.0000","กิโลกรัม","171.7800","กิโลกรัม","2.5770","1.5000","กิโลกรัม","174.3570","กิโลกรัม","kg","RDF2312060","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","สั่งซื้อวัตถุดิบผลิตภัณฑ์ Perfect Organic Treatment Pure Oil","893","0946766466","3","5","23/12/2023","","ค่า Density = 0.818","Thanyanitchawee / RD","1","2025-01-06 08:38:19","2025-01-06 08:38:19"
"69","141600.0000","ชิ้น","8.0800","กรัม","1144.1280","กิโลกรัม","0.0000","กิโลกรัม","1144.1280","กิโลกรัม","5.7210","0.5000","กิโลกรัม","1149.8490","กิโลกรัม","kg","RDF2408006","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","สั่งซื้อวัตถุดิบผลิตภัณฑ์ LA GLACE DAILY MOISTURIZING PADS AQUALOCK12™ HYALURONIC  COMPLEX   (ซอง7-11)","1089","0946766466","1","5.4","13/08/24","","","Thanyanitchawee/  R&D","1","2025-01-06 08:49:50","2025-09-03 03:25:42"
"70","4200.0000","ชิ้น","6.0600","กรัม","25.4520","กิโลกรัม","0.0000","กิโลกรัม","25.4520","กิโลกรัม","0.1270","0.5000","กิโลกรัม","25.5790","กิโลกรัม","kg","RDF2408049","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","สั่งซื้อวัตถุดิบผลิตภัณฑ์ LA GLACE ACNE CARE DAILY CALMING PADS ACNESPHERE™ BALANCING  SKIN COMPLEX (TRAVEL SIZE SACHET)","1073","0946766466","4","6.3","22/8/2024","","","Thanyanitchawee/ R&D","1","2025-01-06 08:53:59","2025-09-12 08:52:03"
"71","10000.0000","ชิ้น","47.5000","กรัม","475.0000","กิโลกรัม","10.0000","กิโลกรัม","485.0000","กิโลกรัม","19.4000","4.0000","กิโลกรัม","504.4000","กิโลกรัม","kg","RDF2501013","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","Foresta UV Expert Vegan Sunscreen SPF 50+ PA++++","792","0660977899","1","9 (MFG27/12/2023)","13/6/2024","9.2","Den 0.95","ชรินทร์ทิพย์ ทวิสิริทรัพย์ / R&D","1","2025-01-07 10:49:05","2025-01-07 10:49:25"
"72","2000.0000","ชิ้น","30.0000","g","60.0000","Kg","6.0000","Kg","66.0000","Kg","1.3200","2.0000","Kg","67.3200","Kg","kg","RDF2409038","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","AESME LABORATORY AESME RETINOL COMPLEX INTENSIVE GENTLE SERUM","900","0955624767","1","CF สูตร 3 MFG26/9/24","CF date 27/11/24","","อ้างอิง AHANA MIRACLE HAIR SERUM DRY AND DAMAGE เนื่องจากมีความหนืดใกล้เคียงกันและเป็น Cold Process เหมือนกัน","ธิดาพร  เกลี้ยงรส / Viewer","1","2025-01-08 02:05:52","2025-01-08 02:05:52"
"73","10000.0000","ชิ้น","47.5000","กรัม","475.0000","กิโลกรัม","10.0000","กิโลกรัม","485.0000","กิโลกรัม","19.4000","4.0000","กิโลกรัม","504.4000","กิโลกรัม","kg","RDF2501051","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","Foresta UV Expert Vegan Sunscreen SPF 50+ PA++++","792","0660977899","1","9 (MFG27/12/2023)","13/6/2024","9.3","Den 0.95 %loss อ้างอิงเนื้อจาก : The Labatorian Fresh Hydro Lotion","ชรินทร์ทิพย์ ทวิสิริทรัพย์ / R&D","1","2025-01-10 02:48:00","2025-01-10 02:48:00"
"74","30000.0000","ชิ้น","120.0000","g","3600.0000","Kg","0.0000","Kg","3600.0000","Kg","79.2000","2.2000","Kg","3679.2000","Kg","kg","RDF2301079","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","Yamana cleansing   กลิ่น 	Sexy Fragrance","836","0955624767","1","2    RDF2301079_2","2023","-","อ้างอิงจาก Loss จากLOt ที่ผ่านมา","ธิดาพร เกลี้ยงรส / Viewer","1","2025-01-13 09:22:11","2025-05-16 08:55:34"
"75","10000.0000","ชิ้น","15.0000","กรัม","150.0000","กิโลกรัม","0.0000","กิโลกรัม","150.0000","กิโลกรัม","6.7500","4.5000","กิโลกรัม","156.7500","กิโลกรัม","kg","RDF2212137","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","Clarissa serum","899","0660977899","3","1 (11/4/22)","","-","Den 1.0","ชรินทร์ทิพย์ ทวิสิริทรัพย์ / R&D","1","2025-01-14 02:47:05","2025-01-14 02:47:05"
"76","25000.0000","ชิ้น","50.0000","g.","1250.0000","kg.","0.0000","kg.","1250.0000","kg.","0.0000","","kg.","1250.0000","kg.","kg","RDF2301060","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","Yamana cleansing  แบบซอง  กลิ่น Dream In Vegas","909","0955624767","1","2","30/11/24","","ไม่เผื่อ %loss เนื่องจากสูตรเกิน 100 %","ธิดาพร  เกลี้ยงรส / Viewer","1","2025-01-14 06:09:15","2025-01-15 07:41:41"
"77","500.0000","ชิ้น","30.0000","กรัม","15.0000","กิโลกรัม","0.0000","","15.0000","กิโลกรัม","0.3000","2.0000","กิโลกรัม","15.3000","กิโลกรัม","kg","RDF2501075","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","สั่งซื้อวัตถุดิบผลิตภัณฑ์ CHULADOCTOR ANTI-AGING HYBRID SUNSCREEN (เทสเตอร์)","995","0946766466","3","4.2","26/10/24","","อ้างอิง % Loss จาก Seoul Organic Cream (Cold Process)\n*เซลล์แจ้งปรับตัด Joybilss 2% ออกจากสูตรที่ลูกค้าCF","ธัญณิชชวีร์ ศรีวรานนท์ / R&D","1","2025-01-14 08:42:54","2025-03-11 07:24:25"
"78","2000.0000","ชิ้น","150.0000","กรัม","300.0000","กิโลกรัม","10.0000","กิโลกรัม","310.0000","กิโลกรัม","9.3000","3.0000","กิโลกรัม","319.3000","กิโลกรัม","kg","RDF2407198","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","FRESHERAL WILDFLOWER HONEY & SAPONIN CLEANSING GEL","905","0660977899","1","4 (7/11/2024)"
"79","500.0000","ชิ้น","200.0000","g","100.0000","Kg","0.0000","Kg","100.0000","Kg","2.0000","2.0000","Kg","102.0000","Kg","kg","RDF2308122","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","Kimari Intensive desert milk hair mask","919","0955624767","2","คอนเฟิมสูตร5 (MFG29/8/23)","CF date: 29/8/23","","อ้างอิงจาก LOT 1","ธิดาพร    เกลี้ยงรส / Viewer","1","2025-01-15 08:49:51","2025-01-15 08:49:51"
"80","300.0000","ชิ้น","891.0000","กรัม","267.3000","กิโลกรัม","0.0000","กิโลกรัม","267.3000","กิโลกรัม","2.6730","1.0000","กิโลกรัม","269.9730","กิโลกรัม","kg","RDF2306151","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","MiniMori Nano Silver Sanitizing Spray (กลิ่น Lavender+Peppermint)  ถุง 900 ml","912","0660977899","4","2.1","7/7/2023","-","Den 0.99","ชรินทร์ทิพย์ / R&D","1","2025-01-15 08:52:09","2025-01-15 08:54:37"
"81","180.0000","ชิ้น","891.0000","กรัม","160.3800","กิโลกรัม","0.0000","กิโลกรัม","160.3800","กิโลกรัม","1.6040","1.0000","กิโลกรัม","161.9840","กิโลกรัม","kg","RDF2306152","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","MiniMori Nano Silver Sanitizing Spray (Unscented)  ถุง 900 ml","914","0660977899","4","2.2","7/7/2023","-","Den 0.99","ชรินทร์ทิพย์ / R&D","1","2025-01-15 08:57:05","2025-01-15 08:58:48"
"82","5090.0000","ชิ้น","1.6500","กรัม","8.3990","กิโลกรัม","0.0000","","8.3990","กิโลกรัม","0.2520","3.0000","กิโลกรัม","8.6500","กิโลกรัม","kg","RDF2410156","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","สั่งซื้อวัตถุดิบผลิตภัณฑ์ HARDORE GEL ORIGINAL","915","0946766466","1","2","14/1/2025","","อ้างอิง % loss จาก Hadore Gel (Tester)\n*ตัดจำนวน 50 ซอง รอบแรกที่ส่งแล้ว\n*มีการปรับ %AgNP กับทางคุณหมอ","ธัญณิชชวีร์ ศรีวรานนท์ / R&D","1","2025-01-15 09:25:09","2025-02-26 08:57:03"
"83","2807.0000","ชิ้น","1.6500","กรัม","4.6320","กิโลกรัม","0.0000","","4.6320","กิโลกรัม","0.1390","3.0000","กิโลกรัม","4.7700","กิโลกรัม","kg","RDF2410155","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","สั่งซื้อวัตถุดิบผลิตภัณฑ์ Finale Gel Original","918","0946766466","1","2","14//1/2025","","อ้างอิง % loss จาก Hadore Gel (Tester)\n*ตัดจำนวน 50 ซอง รอบแรกที่ส่งแล้ว\n*มีการปรับ %AgNP กับทางคุณหมอ","ธัญณิชชวีร์ ศรีวรานนท์ / R&D","1","2025-01-15 09:27:26","2025-02-26 08:57:12"
"84","2807.0000","ชิ้น","1.6500","กรัม","4.6320","กิโลกรัม","0.0000","","4.6320","กิโลกรัม","0.1390","3.0000","กิโลกรัม","4.7700","กิโลกรัม","kg","RDF2410157","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","สั่งซื้อวัตถุดิบผลิตภัณฑ์ HARDORE GEL SENSUAL","917","0946766466","1","1.2","14/1/2025","","อ้างอิง % loss จาก Hadore Gel (Tester) *ตัดจำนวน 50 ซอง รอบแรกที่ส่งแล้ว\n*มีการปรับ %AgNP กับทางคุณหมอ","ธัญณิชชวีร์ ศรีวรานนท์ / R&D","1","2025-01-15 09:29:41","2025-02-26 08:57:20"
"85","5090.0000","ชิ้น","1.6500","กรัม","8.3990","กิโลกรัม","0.0000","","8.3990","กิโลกรัม","0.2520","3.0000","กิโลกรัม","8.6500","","kg","RDF2410151","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","สั่งซื้อวัตถุดิบผลิตภัณฑ์ HARDORE GEL PLUS","916","0946766466","1","1.1","14/1/2025","","อ้างอิง % loss จาก Hadore Gel (Tester)  *ตัดจำนวน 50 ซอง รอบแรกที่ส่งแล้ว\n*มีการปรับ %AgNP กับทางคุณหมอ","ธัญณิชชวีร์ ศรีวรานนท์ / R&D","1","2025-01-15 09:30:57","2025-02-26 08:57:32"
"86","35.0000","ชิ้น","30.0000","g","1.0500","กิโลกรัม","","","1.0500","กิโลกรัม","0.0000","","","1.0500","กิโลกรัม","kg","RDF2412058","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","Holyskincare Moist DAY SERUM-IZER SPF50+PA++++ (tester 1 kg)","926","082-9371409","Tester 1 kg","ยังไม่คอนเฟิร์ม ขอเทสเตอร์สูตร 2","-","-","","ธนพร ปานสาคร / R&D","1","2025-01-21 01:58:21","2025-01-21 02:54:19"
"87","5000.0000","ชิ้น","30.0000","g","150.0000","Kg","0.0000","","150.0000","Kg","5.2500","3.5000","Kg","155.2500","Kg","kg","RDF2501122","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","THANNISA  Foot Soft Cream","1077","0955624767","14","2.2","2022","3","อ้างอิงจาก Lot 8","ธิดาพร  เกลี้ยงรส / Viewer","1","2025-01-23 04:15:50","2025-06-16 03:18:50"
"88","200.0000","ชิ้น","850.0000","กรัม","170.0000","กิโลกรัม","0.0000","กิโลกรัม","170.0000","กิโลกรัม","3.4000","2.0000","กิโลกรัม","173.4000","กิโลกรัม","kg","RDF2304052","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","Alcohol spray 1,000 ml","1130","0660977899","10","standard","-","-","RDF2304052_1 Den 0.85","ชรินทร์ทิพย์ / R&D","1","2025-01-24 02:31:42","2025-08-13 09:24:40"
"89","2571.0000","ชิ้น","30.0000","กรัม","77.1300","กิโลกรัม","0.0000","กิโลกรัม","77.1300","กิโลกรัม","0.0000","0.0000","กิโลกรัม","77.1300","กิโลกรัม","kg","RDF2402089","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","HER HYNESS HEXAPEPTIDE ANTI-AGING SUPER DRY TOUCH SUNSCREEN SPF50+ PA++++ 30 ml","761","0660977899","7","15.6","-","15.6D (15.64)","Den 1.0 RDF2402089_15.64","ชรินทร์ทิพย์ ทวิสิริทรัพย์ / R&D","1","2025-01-24 03:16:53","2025-01-24 06:50:23"
"90","20000.0000","ชิ้น","2.0000","กรัม","40.0000","กิโลกรัม","0.0000","กิโลกรัม","40.0000","กิโลกรัม","0.0000","0.0000","กิโลกรัม","40.0000","กิโลกรัม","kg","RDF2501132","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","HER HYNESS HEXAPEPTIDE ANTI-AGING SUPER DRY TOUCH SUNSCREEN SPF50+ PA++++ 2 ml","1139","0660977899","4","15.6","-","15.61","Den 1.0   RDF2501132_15.61","ชรินทร์ทิพย์ ทวิสิริทรัพย์ / R&D","1","2025-01-24 06:46:51","2025-08-22 02:57:43"
"91","20000.0000","ชิ้น","48.0000","กรัม","960.0000","กิโลกรัม","0.0000","กิโลกรัม","960.0000","กิโลกรัม","0.0000","0.0000","กิโลกรัม","960.0000","กิโลกรัม","kg","RDF2412117","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","HER HYNESS HYA+ WATER SUNSCREEN SPF50+ PA++++ 50 ml","1144","0660977899","6","1.4B","-","-","Den 0.96 , RDF2411174_1.42","ชรินทร์ทิพย์ ทวิสิริทรัพย์ / R&D","1","2025-01-24 07:05:14","2025-09-01 03:50:01"
"92","1000.0000","ชิ้น","2.0000","กรัม","2.0000","กิโลกรัม","0.0000","","2.0000","กิโลกรัม","0.0700","3.5000","กิโลกรัม","2.0700","กิโลกรัม","kg","RDF2406016","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","สั่งซื้อวัตถุดิบสำหรับผลิตภัณฑ์ Savannah GreenShield UV Guard Sunscreen SPF50+ PA++++ (HONNEY)","1163","096-6254984","1","1.2 RDF2406015_1.2","5/7/2024","","อ้างอิงจากการผลิต\nLa glace Cloudy Bare Skin Tint เนื่องจาก เป็น Cool Process","ชื่อ/ตำแหน่ง:   Thanaporn/  R&D","1","2025-01-27 05:52:59","2025-09-12 03:45:55"
"93","86000.0000","ชิ้น","7.0000","กรัม","602.0000","กิโลกรัม","","กิโลกรัม","602.0000","กิโลกรัม","0.0000","0.0000","กิโลกรัม","602.0000","กิโลกรัม","kg","RDF2412043","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","สั่งซื้อวัตถุดิบผลิตภัณฑ์ HER HYNESS UV ADAPT HYA WATER SUNSCREEN SPF50+ PA++++","935","0946766466","1","2.91 (A)","6/1/2025","","","ธัญณิชชวีร์ ศรีวรานนท์ / R&D","1","2025-01-27 06:17:03","2025-02-13 01:49:11"
"94","10000.0000","ชิ้น","30.0000","กรัม","300.0000","กิโลกรัม","10.0000","กิโลกรัม","310.0000","กิโลกรัม","0.0000","0.0000","","310.0000","กิโลกรัม","kg","RDF2404105","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","","","","","","","","","ธิดาพร  เกลี้ยงรส / Viewer","1","2025-01-28 06:32:00","2025-01-28 06:32:00"
"95","2000.0000","ชิ้น","9.7000","กรัม","19.4000","กิโลกรัม","1.9400","กิโลกรัม","21.3400","กิโลกรัม","0.8540","4.0000","กิโลกรัม","22.1940","กิโลกรัม","kg","RDF2410090","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","สั่งซื้อวัตถุดิบสำหรับผลิตภัณฑ์  BLUE BUA AQUA SHIELD MOISTURIZING LOTION (แบบซอง)","","082-9371409","1","สูตร 8","2/12/24","","อ้างอิงเนื้อจาก : Foresta Vegan sunscreen SPF50+ PA++++ เนื่องจากเป็น Hot Process","Thanaporn/  R&D","1","2025-01-29 10:57:02","2025-01-30 03:31:05"
"96","600.0000","ชิ้น","5.0000","กรัม","3.0000","กิโลกรัม","0.0000","กิโลกรัม","3.0000","กิโลกรัม","0.1200","4.0000","กิโลกรัม","3.1200","กิโลกรัม","kg","RDF2406025","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","VioCell Multi-Protection Sunscreen SPF50+PA++++","947","0660977899","0","13 (MFG7/6/2024)","20/6/2024","-","%loss อ้างอิงจาก THE LABATORIAN FRESH HYDROLOTION BROAD SPECTRUM HYBRID SUNSCREEN SPF 50 + PA ++++\nDen 1.0\nRDF2311062_13","ชรินทร์ทิพย์ ทวิสิริทรัพย์ / R&D","1","2025-01-30 02:05:08","2025-02-13 04:02:10"
"97","3000.0000","ชิ้น","25.0000","กรัม","75.0000","กิโลกรัม","7.5000","กิโลกรัม","82.5000","กิโลกรัม","2.4750","3.0000","กิโลกรัม","84.9750","กิโลกรัม","kg","RDF2412052","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","Munjims Serum gel","944","0660977899","1","2 (MFG19/12/2024)","24/12/2024","-","%loss อ้างอิงจาก","ชรินทร์ทิพย์ ทวิสิริทรัพย์ / R&D","1","2025-01-30 02:35:24","2025-01-30 03:02:12"
"98","5100.0000","ชิ้น","50.0000","กรัม","255.0000","กิโลกรัม","10.0000","กิโลกรัม","265.0000","กิโลกรัม","5.3000","2.0000","กิโลกรัม","270.3000","กิโลกรัม","kg","RDF2502020","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","สั่งซื้อวัตถุดิบผลิตภัณฑ์ LAMALL SILKY MOISTURIZING SOFT CREAM ซ","884","0946766466","1","4.3","28/11/24","4.6","อ้างอิง %Loss จาก Seoul White Cream ค่ะ","ธัญณิชชวีร์ ศรีวรานนท์ / R&D","1","2025-02-04 09:38:16","2025-02-04 09:54:00"
"99","34.0000","ชิ้น","30.0000","กรัม","1.0200","กิโลกรัม","0.0000","","1.0200","กิโลกรัม","0.0410","4.0000","กิโลกรัม","1.0610","กิโลกรัม","kg","RDF2502037","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","สั่งซื้อวัตถุดิบลูกค้าขอซื้อเทสเตอร์ผลิตภัณฑ์ Stret mask Cream","938","0946766466","Tester","","","","ส่งสูตร ของแบรนด์ Jella  สูตรที่ผลิต สูตร 4.4","ธัญณิชชวีร์ ศรีวรานนท์ / R&D","1","2025-02-06 03:49:16","2025-02-06 03:49:16"
