"id","formula_masters_id","ppart_action","step_number","sub_number","pdetails","ptime","ptemp","paction_output","psts_check","remark","created_at","updated_at"
"433","MF2301015","A","2","","เติมวัตถุดิบลำดับที่ 2 ▢RC00E003 ลงในวัตถุดิบลำดับที่ 1 ▢RC000000 ปั่นผสมที่ความเร็วรอบ 100-300 rpm","1-5","","ของเหลว ใส ไม่มีสี ไม่มีกลิ่น","","","2023-01-14 02:55:07","2023-01-14 03:09:09"
"434","MF2301015","A","3","","ค่อยๆโปรยวัตถุดิบลำดับที่ 3 ▢RC00A022 ลงในขั้นตอนที่ 2 ปั่นผสมที่ความเร็วรอบ 100-300 rpm","10-15","","เนื้อเจลใส ไม่มีสี ไม่มีกลิ่น","","","2023-01-14 02:55:15","2023-01-14 03:09:14"
"435","MF2301015","A","4","","ค่อยๆโปรยวัตถุดิบลำดับที่ 4 ▢RC00L003 ลงในขั้นตอนที่ 3 ปั่นผสมที่ความเร็วรอบ 300-800 rpm","10-15","","เนื้อครีม ทึบแสง ไม่มีสี ไม่มีกลิ่น","","","2023-01-14 02:55:36","2023-01-14 03:09:19"
"436","MF2301015","A","5","","เติมวัตถุดิบลำดับที่ 5 ▢RC00A012 ลงในขั้นตอนที่ 4 ปั่นผสมที่ความเร็วรอบ 500-1000 rpm","10-15","","เนื้อครีม ทึบแสง ไม่มีสี ไม่มีกลิ่น","","","2023-01-14 03:04:48","2023-01-14 03:09:26"
"437","MF2301015","A","6","","เติมวัตถุดิบลำดับที่ 6 ▢RC00T010 ลงในขั้นตอนที่ 5 ปั่นผสมที่ความเร็วรอบ 500-1000 rpm","5-10","","เนื้อครีม ทึบแสง ไม่มีสี ไม่มีกลิ่น","","","2023-01-14 03:04:54","2023-01-14 03:09:27"
"438","MF2301015","A","7","","เติมวัตถุดิบลำดับที่ 7 ▢RC00R008 ลงในขั้นตอนที่ 6 ปั่นผสมที่ความเร็วรอบ 500-1000 rpm","5-10","","เนื้อครีม ทึบแสง ไม่มีสี ไม่มีกลิ่น","","","2023-01-14 03:05:01","2023-01-14 03:09:33"
"439","MF2301015","A","8","","เติมวัตถุดิบลำดับที่ 8 ▢RC00V008 ลงในขั้นตอนที่ 7 ปั่นผสมที่ความเร็วรอบ 500-1000 rpm","5-10","","เนื้อครีม ทึบแสง ไม่มีสี ไม่มีกลิ่น","","","2023-01-14 03:05:20","2023-01-14 03:09:34"
"440","MF2301015","A+B","9","","เติม part B ลงใน part A ปั่นผสมที่ความเร็วรอบ 500-1000 rpm","15-20","","เนื้อครีม ทึบแสง ไม่มีสี ไม่มีกลิ่น","","","2023-01-14 03:05:21","2023-01-14 03:09:40"
"441","MF2301015","A+B+C","10","","เติมวัตถุดิบลำดับที่ 16 ▢RC00C034 ลงในขั้นตอนที่ 9 ปั่นผสมที่ความเร็วรอบ 500-1000 rpm","5-10","","เนื้อครีม สีเหลือง ทึบแสง ไม่มีกลิ่น","","","2023-01-14 03:05:25","2023-01-14 03:09:44"
"442","MF2301015","A+B+C","11","","เติมวัตถุดิบลำดับที่ 17 ▢RC00C035 ลงในขั้นตอนที่ 10 ปั่นผสมที่ความเร็วรอบ 500-1000 rpm","10-15","","เนื้อครีม สีเนื้อ ทึบแสง ไม่มีกลิ่น","","","2023-01-14 03:05:38","2023-01-14 03:09:48"
"443","MF2301015","A+B+C","12","","เติมวัตถุดิบลำดับที่ 18 ▢RC00S003 ลงในขั้นตอนที่ 11 ปั่นผสมที่ความเร็วรอบ 500-1000 rpm","10-15","","เนื้อครีม สีเนื้อ ทึบแสง ไม่มีกลิ่น pH=6","","","2023-01-14 03:05:43","2023-01-14 03:09:51"
"444","MF2301015","A+B+C","13","","เทเนื้อ Bulk ลงในถังแบ่ง Bulk ปั่นผสมให้เข้ากันที่ความเร็วรอบ 700-1500 rpmจนเข้ากันเป็นเนื้อเดียว","10-15","","เนื้อครีม สีเนื้อ ทึบแสง ไม่มีกลิ่น pH=6","","","2023-01-14 03:05:57","2023-01-14 03:09:57"
"445","MF2301016","A","1","","เติม ▢RC000000 ลงหม้อผสม ค่อยๆโปรย ▢RC00C003 ลงในหม้อผสม จากนั้นแช่ทิ้งไว้ 1 คืน แล้วนำมาปั่นผสมโดยใช้เครื่องปั่นเล็กที่ความเร็วรอบ 300-700 rpm  จนเข้ากันเป็นเนื้อเดียว","15-20","-","ของเหลว โปร่งแสง ไม่มีกลิ่น","","","2023-01-16 02:25:51","2023-05-11 03:11:20"
"446","MF2301016","A","2","","เติม ▢RC00R007 ลงในข้อ1 ปั่นผสมโดยใช้เครื่องปั่นเล็กที่ความเร็วรอบ 300-700 rpm จนเข้ากันเป็นเนื้อเดียว","5-10","-","ของเหลว โปร่งแสง \nไม่มีกลิ่น","","","2023-01-16 02:28:02","2024-03-05 10:53:17"
"447","MF2301016","B","3","","ชั่ง ▢RC000000 ลงในหม้อผสมเล็ก จากนั้นเติม ▢Part B ที่เหลือทีละตัว ได้แก่ ▢RC00N003, ▢RC00O003, ▢RC00I005, ▢RC00P006, ▢RC00A013 และ ▢RC00G007 คนผสมจนเข้ากันเป็นเนื้อเดียว","10-15","-","ของเหลวใส  สีเหลืองอ่อน","","","2023-01-16 02:29:30","2023-09-27 02:39:40"
"448","MF2301016","C","4","","ผสม ▢Part C ได้แก่ ▢RC00S063	, ▢RC00S022 และ ▢RC00P017 ในหม้อผสมเล็ก คนผสม จนเข้ากันเป็นเนื้อเดียว","10-15","-","ของเหลวใส","","","2023-01-16 02:31:30","2025-01-13 03:02:44"
"449","MF2301016","A+B","5","","เติมข้อ3 ▢(Part B ) ลงในข้อ2 (Part A) ปั่นผสมที่ความเร็วรอบ 300-700 rpm จนเข้ากันเป็นเนื้อเดียวกัน","15-30","-","ของเหลว ใส สีเหลืองอ่อน","","","2023-01-16 02:32:42","2023-01-16 02:33:32"
"450","MF2301016","A+B+C","6","","เติมข้อ4 ▢(Part C) ลงในข้อ5 ▢(Part A+B) ปั่นผสมที่ความเร็วรอบ 300-700 rpm จนเข้ากันเป็นเนื้อเดียวกัน","15-20","-","ของเหลว ใส สีเหลืองอ่อน pH = 2-4","","","2023-01-16 02:33:52","2023-01-16 02:41:28"
"451","MF2301016","A+B+C+D","7","","เติม ▢Part D (RC00T016) ลงในข้อ6 (Part A+B+C) ปั่นผสมที่ความเร็วรอบ 300-700 rpm จนเข้ากันเป็นเนื้อเดียวกัน","15-20","-","เนื้อเจล ใส สีเหลืองอ่อน pH = 5-6","","","2023-01-16 02:41:55","2023-01-16 02:42:57"
"452","MF2301016","A+B+C+D+E","8","","เติม ▢Part E (RC00G006) ลงในข้อ7(Part A+B+C+D) ปั่นผสมที่ความเร็วรอบ 300-700 rpm จนเข้ากันเป็นเนื้อเดียวกัน","5-10","-","เนื้อเจล ใส สีเหลืองอ่อน pH = 5-6","","","2023-01-16 02:43:07","2023-01-16 02:47:37"
"453","MF2301017","A","1","","เตรียม part A โดยให้ความร้อนวัตถุดิบลำดับที่ 1 ▢RC00L017 จนมีอุณหภูมิตามกำหนด แล้วค่อยๆโปรยวัตถุดิบลำดับที่ 2 ▢RC00D010 คนผสมให้เข้ากันด้วยไม้พาย","40-60","55-60","ของเหลว สีน้ำเงิน ไม่มีกลิ่น มีตะกอนสีเล็กน้อย","","","2023-01-28 04:19:48","2024-05-14 07:33:27"
"454","MF2301017","B","2","","เตรียม part B โดยผสมวัตถุดิบลำดับที่ 3 ▢RC00L017 วัตถุดิบลำดับที่ 4 ▢RC00S005 วัตถุดิบลำดับที่ 5 ▢RC00P027 วัตถุดิบลำดับที่ 6 ▢RC00L014 ปั่นผสมที่ความเร็วรอบ 300-500 rpm","5-10","-","ของเหลว ใส ไม่มีสี ไม่มีกลิ่น","","","2023-01-28 04:23:14","2024-05-14 07:33:44"
"455","MF2301017","C","3","","เตรียม part C โดยผสมวัตถุดิบลำดับที่ 7 ▢RC00K017 วัตถุดิบลำดับที่ 8 ▢RC00B016 และวัตถุดิบลำดับที่ 9 ▢RCF00024 คนผสมให้เข้ากันด้วยไม้พาย","5-10","-","ของเหลว สีน้ำเงิน กลิ่น RCF00024 Purify","","","2023-01-28 04:25:10","2023-02-17 11:47:38"
"460","MF2301018","A","1","","เตรียม Part A ในบีกเกอร์ขนาด 2000 ml โดยนำวัตถุดิบลำดับที่ 2 \n ▢RC00T011 เทลงวัตถุดิบลำดับที่ 1 ▢RC000000 คนผสมด้วยไม้พายเป็นเวลา","10-20","-","ของเหลว ใส ไม่มีสี\nกลิ่นเฉพาะตัว","","","2023-01-28 06:56:41","2023-01-28 06:59:49"
"461","MF2301018","A+B","2","","เติม ▢Part A ลงในวัตถุดิบลำดับที่ 3 RC000000 ปั่นผสมที่ความเร็วรอบ 100-500 rpm","10-20","-","ของเหลว ใส ไม่มีสี\nกลิ่นเฉพาะตัว","","","2023-01-28 06:56:44","2023-01-28 07:01:26"
"462","MF2301018","C","3","","เตรียม Part C ในบีกเกอร์ขนาด 1000 ml โดยผสมวัตถุดิบลำดับที่ 4 ▢RC00E005 วัตถุดิบลำดับที่ 5 ▢RCC00001 และวัตถุดิบลำดับที่ 6 ▢RCC00002 คนผสมด้วยไม้พาย","5-10","-","ของเหลว ใส ไม่มีสี-เหลืองอ่อน กลิ่น RCC00001 Lavender Essential Oil และกลิ่น RCC00002 Peppermint Essential Oil","","","2023-01-28 06:56:50","2023-01-28 07:33:21"
"463","MF2301018","A+B+C","4","","เติม ▢Part C ลงใน Part A+B ปั่นผสมที่ความเร็วรอบ 100-500 rpm","10-20","-","ของเหลว ใส ไม่มีสี\nกลิ่น RCC00001 Lavender Essential Oil และกลิ่น RCC00002 Peppermint Essential Oil","","","2023-01-28 06:57:03","2023-01-28 07:33:50"
"464","MF2301018","A+B+C+D","5","","เติมวัตถุดิบลำดับที่ 7 ▢RC00G006 ลงใน Part A+B+C ปั่นผสมที่ความเร็วรอบ 100-500 rpm","5-10","-","ของเหลว ใส ไม่มีสี\nกลิ่น RCC00001 Lavender Essential Oil และกลิ่น RCC00002 Peppermint Essential Oil","","","2023-01-28 06:57:09","2023-01-28 07:34:09"
"465","MF2301018","A+B+C+D+E","6","","เติมวัตถุดิบลำดับที่ 8 ▢RC00S044 ลงใน Part A+B+C+D  ปั่นผสมที่ความเร็วรอบ 100-500 rpm","5-10","-","ของเหลว ใส ไม่มีสี\nกลิ่น RCC00001 Lavender Essential Oil และกลิ่น RCC00002 Peppermint Essential Oil pH = 4-5","","","2023-01-28 06:57:14","2023-01-28 07:34:33"
"466","MF2301019","A","1","","เตรียม Part A ในบีกเกอร์ขนาด 2000 ml โดยนำวัตถุดิบลำดับที่ 2 \n ▢RC00T011 เทลงวัตถุดิบลำดับที่ 1 ▢RC000000 คนผสมด้วยไม้พายเป็นเวลา","10-20","-","ของเหลว ใส ไม่มีสี\nกลิ่นเฉพาะตัว","","","2023-01-28 07:38:37","2023-05-22 02:09:02"
"467","MF2301019","A+B","2","","เติม ▢Part A ลงในวัตถุดิบลำดับที่ 3 RC000000 ปั่นผสมที่ความเร็วรอบ 100-500 rpm","10-20","-","ของเหลว ใส ไม่มีสี\nกลิ่นเฉพาะตัว","","","2023-01-28 07:38:46","2023-01-28 07:43:21"
"468","MF2301019","C","3","","เตรียม Part C ในบีกเกอร์ขนาด 1000 ml โดยผสมวัตถุดิบลำดับที่ 4 ▢RC00E005 วัตถุดิบลำดับที่ 5 ▢RCC00001 และวัตถุดิบลำดับที่ 6 ▢RCC00002 คนผสมด้วยไม้พาย","5-10","-","ของเหลว ใส ไม่มีสี-เหลืองอ่อน กลิ่น RCC00001 Lavender Essential Oil และกลิ่น RCC00002 Peppermint Essential Oil","","","2023-01-28 07:38:50","2023-01-28 07:43:32"
"469","MF2301019","A+B+C","4","","เติม ▢Part C ลงใน Part A+B ปั่นผสมที่ความเร็วรอบ 100-500 rpm","10-20","-","ของเหลว ใส ไม่มีสี\nกลิ่น RCC00001 Lavender Essential Oil และกลิ่น RCC00002 Peppermint Essential Oil","","","2023-01-28 07:39:32","2023-01-28 07:43:38"
"470","MF2301019","A+B+C+D","5","","เติมวัตถุดิบลำดับที่ 7 ▢RC00G006 ลงใน Part A+B+C ปั่นผสมที่ความเร็วรอบ 100-500 rpm","5-10","-","ของเหลว ใส ไม่มีสี\nกลิ่น RCC00001 Lavender Essential Oil และกลิ่น RCC00002 Peppermint Essential Oil","","","2023-01-28 07:39:39","2023-01-28 07:43:48"
"471","MF2301019","A+B+C+D+E","6","","เติมวัตถุดิบลำดับที่ 8 ▢RC00S044 ลงใน Part A+B+C+D  ปั่นผสมที่ความเร็วรอบ 100-500 rpm","5-10","-","ของเหลว ใส ไม่มีสี\nกลิ่น RCC00001 Lavender Essential Oil และกลิ่น RCC00002 Peppermint Essential Oil pH = 4-5","","","2023-01-28 07:40:03","2023-01-28 07:44:01"
"472","MF2301020","A","1","","ชั่ง ▢RC000000 ลงในหม้อผสมเล็ก จากนั้นค่อยๆโปรย ▢RC00C001 ลงไป แช่ทิ้งไว้เป็นระยะเวลา1คืนจน RC00C001 พองตัวดี","-","-","ของเหลว โปร่งแสง \nไม่มีกลิ่น","","","2023-01-30 08:21:13","2023-01-30 08:22:17"
"473","MF2301020","B","2","","ชั่ง ▢RC000000 ลงในหม้อผสมใหญ่ จากนั้นค่อยๆโปรย ▢RC00X001 ผ่านตะแกรง ปั่นผสมด้วยเครื่องปั่นใหญ่ที่ความเร็วรอบ 400-800 rpm จน RC00X001 พองตัวสมบูรณ์","30-40","-","ของเหลว โปร่งแสง \nไม่มีกลิ่น","","","2023-01-30 08:22:23","2023-01-30 08:23:49"
"474","MF2301020","A+B","3","","เติม▢ขั้นตอน1. ลงในขั้นตอน2. ปั่นผสมด้วยเครื่องปั่นใหญ่ที่ความเร็วรอบ 400-800 rpm จนเข้ากันเป็นเนื้อเดียว","15-20","-","ของเหลว โปร่งแสง \nไม่มีกลิ่น","","","2023-01-30 08:24:21","2023-01-30 08:25:50"
"475","MF2301020","A+B+C","4","","เติมPart C ได้แก่ ▢RC00H004 ,▢RC00R007 และ ▢RC00I003 ลงในขั้นตอนที่ 3 ปั่นผสมที่ความเร็วรอบ 400-800 rpm จนเข้ากันเป็นเนื้อเดียว","5-10","-","ของเหลว โปร่งแสง \nไม่มีกลิ่น","","","2023-01-30 08:25:55","2024-08-28 09:28:23"
"476","MF2301020","D","5","","ชั่ง ▢RC000000 ลงในหม้อผสมเล็ก จากนั้นเติม ▢RC00N003 ใช้ไม้พายคนผสม จนได้สารละลายใส","3-5","-","ของเหลว ใส ไม่มีกลิ่น","","","2023-01-30 08:27:03","2023-01-30 08:28:00"
"477","MF2301020","A+B+C+D","6","","เติม ▢ขั้นตอนที่5. ลงในขั้นตอนที่4. ปั่นผสมด้วยเครื่องปั่นใหญ่ที่ความเร็วรอบ 800-1200 rpm จนเข้ากันเป็นเนื้อเดียว","15-20","-","เจลใส ไม่มีกลิ่น","","","2023-01-30 08:28:05","2023-07-06 04:22:34"
"478","MF2301020","A+B+C+D+E","7","","เติม ▢RC00G006 ลงในขั้นตอนที่6. ปั่นผสมด้วยเครื่องปั่นใหญ่ที่ความเร็วรอบ 800-1200 rpm จนเข้ากันเป็นเนื้อเดียว","5-10","-","เจลใส มีกลิ่นเฉพาะตัว","","","2023-01-30 08:29:07","2023-07-06 04:22:45"
"479","MF2301020","F","8","","ผสม ▢RC00E005 และ ▢RCF00021 ในบีกเกอร์ คนผสมด้วยแท่งแก้ว จนเข้ากันเป็นเนื้อเดียว","5-10","-","ของเหลว ใส กลิ่น PF58(English Pear)","","","2023-01-30 08:32:09","2023-01-30 08:33:10"
"480","MF2301020","A+B+C+D+E+F","9","","เติม▢ขั้นตอนที่8. ลงในขั้นตอนที่7. ปั่นผสมด้วยเครื่องปั่นใหญ่ที่ความเร็วรอบ 800-1200 rpm จนเข้ากันเป็นเนื้อเดียว","5-10","-","เจลใส กลิ่น PF58(English Pear)","","","2023-01-30 08:33:16","2023-07-06 04:23:01"
"481","MF2301020","A+B+C+D+E+F+G","10","","เติม ▢RC00T016 ลงใน ขั้นตอนที่9. ปั่นผสมด้วยเครื่องปั่นใหญ่ที่ความเร็วรอบ 800-1200 rpm จนเข้ากันเป็นเนื้อเดียว","10-15","-","เจลใส กลิ่น PF58(English Pear)\npH = 5.5-6","","","2023-01-30 08:34:37","2023-07-06 04:23:17"
"482","MF2301020","","11","","เทเนื้อลงถังแบ่ง Bulk แล้วปั่นปั่นผสมด้วยเครื่องปั่นใหญ่ที่ความเร็วรอบ 800-1200 rpm จนเข้ากันเป็นเนื้อเดียว","5-10","-","เจลใส กลิ่น PF58(English Pear)\npH = 5.5-6","","","2023-01-30 08:36:42","2023-01-30 08:39:23"
"483","MF2301021","A","1","","ชั่ง ▢RC000000 และ ▢RC00W002 ลงในหม้อผสมปั่นเบาๆด้วยความเร็วรอบ 100-300 rpm ให้เข้ากัน","5-10","-","ของเหลวใส","","","2023-01-30 09:03:21","2023-01-30 09:06:31"
"484","MF2301021","A","2","","ค่อยๆโปรย ▢RC00S014 ลงไป ปั่นผสมให้เข้ากันด้วยความเร็วรอบ 1000-1500 rpm จนกระจายตัวดี","200-215","-","เจล ฝ้า-ใส","","","2023-01-30 09:03:23","2023-01-30 09:07:34"
"485","MF2301021","A+B","3","","เติมPart B ทีละตัว ได้แก่ ▢RC00C008 และ ▢RC00M009 ลงในข้อ2. ปั่นผสมให้เข้ากันด้วยความเร็วรอบ 1000-1500 rpm  จนเข้ากันเป็นเนื้อเดียว","20-30","-","เจล ฝ้า-ใส มีฟองแทรก","","","2023-01-30 09:03:37","2023-01-30 09:08:29"
"486","MF2301021","A+B+C","4","","เติมPart C ทีละตัว ได้แก่ ▢RC00R008 และ ▢RC00H004 ลงในข้อ3. ปั่นผสมให้เข้ากันด้วยความเร็วรอบ 1000-1500 rpm จนเข้ากันเป็นเนื้อเดียว","10-15","-","เจล ฝ้า-ใส มีฟองแทรก","","","2023-01-30 09:03:46","2023-01-30 09:10:26"
"487","MF2301021","A+B+C +D","5","","เติมPart D คือ ▢RC00G006 ลงในข้อ4. ปั่นผสมให้เข้ากันด้วยความเร็วรอบ 1000-1500 rpm จนเข้ากันเป็นเนื้อเดียว","5-10","-","เจล ฝ้า-ใส มีฟองแทรก","","","2023-01-30 09:03:52","2023-01-30 09:11:20"
"488","MF2301021","A+B+C +D+E","6","","เติมPart E คือ ▢RCF00028 ลงในข้อ5. ปั่นผสมให้เข้ากันด้วยความเร็วรอบ 1000-1500 rpm\nจนเข้ากันเป็นเนื้อเดียว","5-10","-","เจล ฝ้า-ใส มีฟองแทรก","","","2023-01-30 09:04:01","2023-01-30 09:12:03"
"489","MF2301021","A+B+C +D+E +F","7","","ค่อยๆโปรย Part F คือ ▢RC00S014 ลงในข้อ6. ปั่นผสมให้เข้ากันด้วยความเร็วรอบ 1000-1500 rpm จนเข้ากันเป็นเนื้อเดียว","70-80","-","เจล ฝ้า-ใส มีฟองแทรก มีกลิ่น Snow white\npH 5-6","","","2023-01-30 09:04:06","2023-01-30 09:12:49"
"490","MF2301021","G","8","","ชั่ง ▢RC000000 ลงในถังหูสี จากนั้นเติม ▢RC00C022 ลงไป คนผสมให้เข้ากันด้วยไม้พาย","5-10","-","สารละลายใส pH 1-2","","","2023-01-30 09:04:11","2023-01-30 09:14:53"
"491","MF2301021","A+B+C +D+E +F+G","9","","เติม ▢Part G ลงในข้อ7. ปั่นผสมให้เข้ากันด้วยความเร็วรอบ 1000-1500 rpm จนเข้ากันเป็นเนื้อเดียว","10-15","-","เจล ฝ้า-ใส  มีฟองแทรกมีกลิ่น Snow white\npH 4","","","2023-01-30 09:04:28","2023-01-30 09:14:58"
"492","MF2301021","","10","","เทเนื้อลงถังแบ่ง Bulk แล้วปั่นปั่นผสมด้วยเครื่องปั่นใหญ่ที่ความเร็วรอบ 800-1200 rpm จนเข้ากันเป็นเนื้อเดียว","5-10","-","เจล ฝ้า-ใส  มีฟองแทรกมีกลิ่น Snow white\npH 4","","","2023-01-30 09:27:31","2023-01-30 09:27:50"
"493","MF2301022","A","1","","เตรียม part A โดยผสมวัตถุดิบลำดับที่ 1 ▢RC000000, วัตถุดิบลำดับที่ 2 ▢RC00S012, วัตถุดิบลำดับที่ 3 ▢RC00A009, วัตถุดิบลำดับที่ 4 ▢RC00G006 ปั่นผสมที่ความเร็วรอบ 100-300 rpm","1-5","-","ของเหลว โปร่งใส ไม่มีสี\nไม่มีกลิ่น","","","2023-01-30 10:45:24","2023-01-30 10:47:42"
"494","MF2301022","B","2","","เตรียม part B โดยผสมวัตถุดิบลำดับที่ 5 ▢RC00S005 วัตถุดิบลำดับ 6 ▢RC00S008 วัตถุดิบลำดับที่ 7 ▢RC00A026 วัตถุดิบลำดับที่ 8 ▢RC00A016 วัตถุดิบลำดับที่ 9 ▢RC00S001 วัตถุดิบลำดับที่ 10 ▢RCF00032 ปั่นผสมที่ความเร็วรอบ 300-600 rpm","10-15","-","ของเหลว สีขาว ทึบแสง\nไม่มีกลิ่น","","","2023-01-30 10:46:48","2023-01-30 10:48:29"
"495","MF2301022","A+B","3","","ค่อยๆเติม part A ทีละส่วนน้อยๆ ลงใน part B ปั่นผสมจนเป็นเนื้อเดียวกันก่อนเติมส่วนถัดไป ปั่นผสมที่ความเร็วรอบ 500-1500 rpm","40-60","-","ได้ของเหลวสีขาวทึบในช่วงแรก เมื่อเติม part น้ำใกล้ครบจะค่อยๆหนืดขึ้นจนเป็นเนื้อครีม กลิ่น RCF00032 Sakura 2  pH=5","","","2023-01-30 10:47:51","2023-01-30 10:52:12"
"496","MF2301023","A","1","","ชั่งPart A ทีละตัว ได้แก่ ▢RC000000 (1) ▢RC00W002 (2) \n▢RC00M009 (3)\n▢RC00R007 (4)\n▢RC00H004 (5)\n▢RC00G006 (6)\nลงในหม้อผสมใหญ่\n****ยังไม่เปิดเครื่องปั่น****","15-20","-","ของเหลวใส","","","2023-01-31 06:35:27","2025-08-11 07:01:28"
"497","MF2301023","A+B","2","","ค่อยๆโปรย ▢RC00S014 (7)  ลงในข้อ.1  ปั่นผสมพร้อมโปรยให้เข้ากันด้วยความเร็วรอบ 300-1000 rpm จนกระจายตัวดี","20-30","-","เจล ฝ้า-ใส มีฟองแทรก","","","2023-01-31 06:36:32","2025-08-11 07:01:59"
"8 ลงในข้อ2. ปั่นผสมให้เข้ากันด้วยความเร็วรอบ 1000-1500 rpm  จนเข้ากันเป็นเนื้อเดียว,5-10,-,เจล ฝ้า-ใส มีฟองแทรก สีขาวขึ้น,NULL,NULL,2023-01-31 06:37:22,2025-08-11 07:03:39"
"499","MF2301023","A+B+C+D","4","","เติมPart D คือ ▢RCF00073	(9) ลงในข้อ3. ปั่นผสมให้เข้ากันด้วยความเร็วรอบ 1000-1500 rpm\nจนเข้ากันเป็นเนื้อเดียว","10-15","-","เจล ฝ้า-ใส มีฟองแทรก มีกลิ่น RCF00073","","","2023-01-31 06:38:55","2025-08-11 07:07:58"
"500","MF2301023","E","5","","ผสม Part E ลงในหม้อผสมเล็ก ได้แก่ \n▢RC000000 (10)\n▢RC00C022 (11)\nคนผสมให้เข้ากันด้วยไม้พาย\nจากนั้นเทลง ▢ ข้อ4.ปั่นผสมให้เข้ากันด้วยความเร็วรอบ 1000-1500 rpm จนเข้ากันเป็นเนื้อเดียว","10-15","-","เจล ฝ้า-ใส มีฟองแทรก มีกลิ่น RCF00052\n pH 3.80-4.50","","","2023-01-31 06:39:43","2025-08-11 10:25:55"
"501","MF2301023","A+B+C +D+E","6","","ตักเนื้อลงถังแบ่ง Bulk","15-30","-","เจล ฝ้า-ใส มีฟองแทรก มีกลิ่น RCF00073\n pH 3.80-4.50","","","2023-01-31 06:40:09","2025-08-11 07:12:18"
"506","MF2302001","A","1","","เตรียม part A โดยค่อยๆโปรยวัตถุดิบลำดับที่ 2 ▢RC00T19 ลงในวัตถุดิบลำดับที่ 1 ▢RC00P025 (โปรยผ่านตะแกรง) ปั่นผสมที่ความเร็วรอบ 300-600 rpm เมื่อปั่นครบ 30 นาทีแบ่งน้ำจากวัตถุดิบลำดับที่ 4 ▢RC000000 มาหนึ่งเหยือกเติมลงไป ปั่นต่อเป็นเวลา 5 นาที","30-35","-","ของเหลว ขุ่น สีเหลืองถึงน้ำตาล มีเม็ดเล็กๆ","","","2023-02-02 06:30:51","2023-07-11 10:27:55"
"507","MF2302001","A+B","2","","กรอง part A ลงในวัตถุดิบลำดับที่ 3 ▢RC00A001 คนผสมด้วยไม้พาย","15-30","-","ของเหลว ใส สีเหลืองถึงน้ำตาล กลิ่นเฉพาะตัว","","","2023-02-02 06:31:40","2023-07-11 10:28:11"
"508","MF2302001","A+B","3","","เติมวัตถุดิบลำดับที่ 4 ▢RC000000 ลงในขั้นตอนที่ 2 คนผสมด้วยไม้พาย","1-5","-","ของเหลว ใส สีเหลืองถึงน้ำตาล กลิ่นเฉพาะตัว","","","2023-02-02 06:32:21","2023-07-11 10:28:32"
"509","MF2302001","A+B","4","","เติมวัตถุดิบลำดับที่ 5 ▢RC00G001 ลงในขั้นตอนที่ 2 คนผสมด้วยไม้พาย","1-5","-","ของเหลว ใส สีเหลืองถึงน้ำตาล กลิ่นเฉพาะตัว\npH = 8-9","","","2023-02-02 06:32:52","2023-07-11 10:28:47"
"510","MF2302002","A","1","","ผสม Part A ลงในหม้อผสมใหญ่ ▢RC000000 , ▢RC00S043 และ ▢RC00O003 ปั่นผสมที่ความเร็วรอบ 300-600 rpm จนละลายเป็นเนื้อเดียวกัน","10-15","-","ของเหลว โปร่งใส ไม่มีกลิ่น","","","2023-02-03 06:31:16","2023-02-03 06:32:09"
"511","MF2302002","A+B","2","","เติม Part B ▢RC00L003 ลง Part A ปั่นผสมที่ความเร็วรอบ 300-900 rpm   จนกระจายเป็นเนื้อเดียวกัน","15-30","-","ครีมเจล กึ่งแข็งกึ่งเหลว สีขาว-เหลืองอ่อน โปร่งใส \nไม่มีกลิ่น","","","2023-02-03 06:32:53","2023-02-03 06:33:25"
"512","MF2302002","A+B+C","3","","เติม Part C ทีละตัวลง Part A+B ดังนี้ ▢RC00A011, ▢RC00I001, ▢RC00I002, ▢RC00P006, ▢RC00C012, ▢RC00R008, ▢RC00H004, ▢RC00I003, ▢RC00S003 และ  ▢RCF00020  ปั่นผสมที่ความเร็วรอบ 300-900 rpm จนกระจายเป็นเนื้อเดียวกัน","20-40","-","ครีมเจล กึ่งแข็งกึ่งเหลว \nสีขาว-เหลืองอ่อน ทึบแสง\nมีกลิ่น RCF00020\npH = 5-6","","","2023-02-03 06:33:33","2023-02-03 06:35:27"
"513","MF2302003","A","1","","ผสม Part A ดังนี้ นำ ▢RC000000 ลงหม้อผสม ค่อยๆเติม วัตถุดิบ ▢RC00N003, ▢RC00H003, ▢RC00O003 และ ▢RC00R002 ตามลำดับ ปั่นผสมที่ความเร็วรอบ 100-300 rpm จนละลายเป็นเนื้อเดียวกัน","10-20","-","ของเหลว ใส ไม่มีสี \nไม่มีกลิ่น","","","2023-02-09 04:32:04","2023-02-09 04:32:59"
"514","MF2302003","A+B","2","","ค่อยๆเติม Part B ▢RC00A012 ลง Part A ปั่นผสมที่ความเร็วรอบ 300-900 rpm จนกระจายเป็นเนื้อเดียวกัน","10-30","-","ของเหลว มีความหนืดขึ้น สีขาว โปร่งแสง \nไม่มีกลิ่น","","","2023-02-09 04:33:03","2023-02-09 04:35:35"
